Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
Müller Martini,PD-MU/BR-FP,N/A,N/A,,,,,,
Müller Martini,CC-MU-01,N/A,N/A,Muller Cover Feeder 1528 & 1529,,,,,
Müller Martini,CC-MU-01-A,N/A,N/A,Muller Cover Feeder 1294,,,,,
Müller Martini,SC-MU-02-Tempo,N/A,N/A,Müller Martini Tempo Cover feeder,,,,,
Müller Martini,SC-MU-02,N/A,N/A,Muller Cover Feeder 1553/4, Muller Primera E140, Muller 1528/29 Blue coloured cover feeders,,,
Müller Martini,SC-MU-03,N/A,N/A,Müller Cover Feeder Model 292,,,,,
Müller Martini,SC-MU-04,N/A,N/A,Muller Cover Feeder 0554.0400,,,,,
Müller Martini,SC-MU-05,N/A,N/A,Muller Cover Feeder 0507.0400 (2013 Models onwards), Muller Cover Feeder 0554.0401,,,,
Müller Martini,SC-MU-06,N/A,N/A,Müller Cover Feeder 1528.0444,,,,,
Müller Martini,TRI-WEB-04,Large: 45mm / Small: 45mm,Large: 104.45mm / Small: 76.65mm,Müller Martini Web Press,,,,,
Müller Martini,QC-DEL-MPB/30-FP-5,30mm,50mm,"Corona, Bolero, Acoro, Norm Binder, Star Binder",,,,,
Müller Martini,QC-MPB-2S/30-FP-6,30mm,50mm,Müller Martini RB5,,,,,
Müller Martini,QC-MU/AG-30-FP,Top Shaft: 30mm / Bottom Shaft: 30mm,Top Shaft: 50mm / Bottom Shaft: 80mm,Müller Martini Amigo Plus Binding Machine,,,,,
Müller Martini,QC-MU/ALE-FP-6,48mm,96mm,Muller Martini Alegro Perfect Binders with 48mm tooling shafts,,,,,
Müller Martini,QC-MU/PA-FP-6-01-DC,Top shaft: 30mm / Bottom Shaft: 30mm,Top shaft: 80mm / Bottom Shaft: 80mm,Müller Panda 2 & Tigra Binders,,,,,
Müller Martini,QC-MU/PA-FP-6-01,Top Shaft: 30mm / Bottom Shaft: 30mm,Top Shaft: 80mm / Bottom Shaft: 80mm,Müller Panda 2 & Tigra Binders,,,,,
Müller Martini,QC-MU/PA-FP-6,Top Shaft: 5mm / Bottom Shaft: 30mm,Top Shaft: 25mm / Bottom Shaft: 80mm,Müller Martini 2-Shaft Panda Binder,,,,,
Müller Martini,QC-MU/PAN-FP-6,30mm,85mm,Müller Martini Pantera Binder,,,,,
