Product Code,Description,Sales Price,Last Cost Price (Std)
TECH331,Muller Trend Binder with 6mm Hinge,0.00,351.27
TECH330,Shoei 35/55mm Tri-Creaser Fast Fit Shortened Version,0.00,121.90
TECH329,Shoei 35/65mm Tri-Creaser Fast Fit Shortened Version,0.00,147.72
TECH328,H&H 20mm Tri-Creaser Fast Fit,0.00,104.20
TECH327,H&H Tri-Creaser Easy Fit - 50mm I/D - 67.5mm O/D,0.00,88.64
TECH325,Shoei 65mm Tri-Creaser Fast Fit with Fixed Female Component,0.00,108.88
TECH324,Kolbus Support Rollers 60mm (pair),0.00,42.24
TECH323,Micro-Perf MBO 40mm Shaft,0.00,125.62
TECH322,Shoei 65 Fast Fit,0.00,128.97
TECH321,Shoei 65mm Gripper Boss Support Rollers,0.00,25.05
TECH320,Shoei 55mm Gripper Boss Support Rollers,0.00,31.17
TECH319,Multi-Tool Blade Holder - H&H - 45mm I/D,0.00,153.43
TECH318,35mm Gripper Boss Support Rollers,0.00,34.82
TECH317T,15mm Support Rollers Shoei/Morgana. Gripper part only,0.00,9.85
TECH317,Miniature 15mm I/D Shoei Gripper Boss Support Rollers,0.00,31.23
TECH316,Horizon VP-66 Starter Package (4x Male 4x Female Component),0.00,271.29
TECH315,Muller Trend Binder,0.00,422.01
TECH314,30mm Adjustable Spine & Hinge Creaser,0.00,345.13
TECH312SP,Modified Spacer for Muller Adjustable Binder 6 Crease,0.00,12.76
TECH312,Muller Adjustable Binder - 6 Creaser Set,0.00,219.08
TECH311,Kolbus Binder 60mm - 6 Creaser Set,0.00,327.51
TECH310,35mm Standard Adjustable Spine & Hinge Creaser,0.00,242.99
TECH309,Shoei 65mm O/D Multi-Tool Nylon Sleeve Holder Set,0.00,96.63
TECH308,Shoei 55mm O/D Multi-Tool Nylon Sleeve Holder Set,0.00,97.38
TECH307,Shoei 65mm O/D Multi-Tool Blade Holder,0.00,111.48
TECH306,Shoei 55mm O/D Multi-Tool Blade Holder,0.00,72.08
TECH304,36mm Multi-Tool Creasing Cassette,0.00,117.16
