Action Required,Product Code,Description,New Sales Price,Cost Price,Full Price Margin %,, ,New Distributor Price,Cost Price ,Distributor Margin %,  ,   ,Type,Category,    ,Distributor %
NEEDS PRICING,EF-HO/50-FP-USA,OBSELETE,1096.7,8.18,99.3,,,,8.18,,,,tool,Easy-Fit Tri-Creaser,,
,EF-HO/50-FP,Tri-Creaser Easy Fit to fit Horizon 20mm shafts,1096.7,108.29,90.1,,,658.02,108.29,83.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HO/30-FP,Tri Creaser Easy Fit to fit Horizon 48mm Outer Diameter,1096.7,121.03,89,,,658.02,121.03,81.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HO/25-FP,Tri-Creaser Easy Fit to fit Horizon 24.81mm shafts,1096.7,165.73,84.9,,,658.02,165.73,74.8,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-HO-ADJ/6C-FP,Horizon Japanese Double Easy-Fit - 6 Creaser Set,1096.7,21.05,98.1,,,,21.05,,,,tool,Easy-Fit Tri-Creaser,,
NEEDS PRICING,EF-HH/69.5-FP,OBSELETE,1096.7,9.79,99.1,,,,9.79,,,,tool,Easy-Fit Tri-Creaser,,
,EF-HH/67.5-FP-02,Easy Fit Tri-Creaser 45mm I/D 67.5mm O/D with Nylon Ribs,1096.7,9.65,99.1,,,658.02,9.65,98.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HH/67.5-FP-01,Tri-Creaser Easy Fit to fit Herzog & Heymann 45mm shafts,1096.7,91.55,91.7,,,658.02,91.55,86.1,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HH/67.5-FP,Tri-Creaser Easy Fit to fit Herzog & Heymann 50mm shafts,1096.7,103.87,90.5,,,658.02,103.87,84.2,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HH/35-FP,Tri-Creaser Easy Fit to fit Herzog & Heymann 35mm shafts,1096.7,187.08,82.9,,,658.02,187.08,71.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HH/30-FIX,Tri-Creaser Easy Fit to fit Herzog & Heymann 30mm shafts,1096.7,72.12,93.4,,,658.02,72.12,89,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HH/25-FP,Tri-Creaser Easy Fit to fit Herzog & Heymann 25mm shafts,1096.7,72.72,93.4,,,658.02,72.72,88.9,,,tool,Easy-Fit Tri-Creaser,,60
,EF-GU/35-FP,Tri-Creaser Easy Fit to fit GUK 35mm shafts,1096.7,41.18,96.2,,,658.02,41.18,93.7,,,tool,Easy-Fit Tri-Creaser,,60
,EF-GU/35-FIX,Tri-Creaser Easy Fit to fit GUK 35mm shafts with Fixed Femal,1096.7,80.36,92.7,,,658.02,80.36,87.8,,,tool,Easy-Fit Tri-Creaser,,60
,EF-FI/45,Tri-Creaser Easy Fit to fit Fidia 45mm shafts,1096.7,70.81,93.5,,,658.02,70.81,89.2,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-FI/40-FP,Tri Creaser Easy Fit to fit Fidia 40mm shafts,1096.7,,,,,,,,,,tool,Easy-Fit Tri-Creaser,,
NEEDS PRICING,EF-FI/40-FIX,Tri Creaser Fixed Easy Fit to fit Fidia 40mm Shaft,1096.7,148.09,86.5,,,,148.09,,,,tool,Easy-Fit Tri-Creaser,,
,EF-DM/30-FP,Tri-Creaser Easy Fit to fit Dick Moll 29.62mm shafts,1096.7,87.58,92,,,658.02,87.58,86.7,,,tool,Easy-Fit Tri-Creaser,,60
,EF-DEL-PE/26-FP,Tri-Creaser Easy Fit to fit Pierce 27mm shafts,1096.7,94.26,91.4,,,658.02,94.26,85.7,,,tool,Easy-Fit Tri-Creaser,,60
,EF-BR-RO/20-FP,Rollem Easy-Fit Tri-Creaser with Female Bearing Component,1096.7,11.86,98.9,,,658.02,11.86,98.2,,,tool,Easy-Fit Tri-Creaser,,60
,EF-BF/28-FP,"Tri-Creaser Easy Fit to fit Baumfolder 28.58mm or 1 1/8"" sha",1096.7,148.09,86.5,,,658.02,148.09,77.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-BF/22-FP,"Tri-Creaser Easy Fit to fit Baumfolder 22.24mm or 7/8"" shaft",1096.7,114.68,89.5,,,658.02,114.68,82.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-BAC-FP,DISCONTINUED - Bacciottini Easy-Fit Tri-Creaser,1096.7,114.3,89.6,,,658.02,114.3,82.6,,,tool,Easy-Fit Tri-Creaser,,60
,EF-36-FIXED,Tri-Creaser Easy Fit to fit Agor & Multigraf 36mm shafts wit,1096.7,64.62,94.1,,,658.02,64.62,90.2,,,tool,Easy-Fit Tri-Creaser,,60
,EF-25/FIX-FE,25mm Easy-Fit Fixed Female Tri-Creaser,1096.7,52.89,95.2,,,658.02,52.89,92,,,tool,Easy-Fit Tri-Creaser,,60
,EF-SM/35-FP-DSF-01-B,Tri Creaser Easy Fit 35mm Advance System,1647,117.65,92.9,,,988.2,117.65,88.1,,,tool,Easy-Fit Tri-Creaser,,60
,EF-MF/30-FP-DSF-01-B,Tri Creaser Easy Fit 30mm Advance System,1647,143.16,91.3,,,988.2,143.16,85.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-ST/25-FP-DSF-01-B,Tri Creaser Easy Fit 25mm Advance System,1647,130.94,92,,,988.2,130.94,86.7,,,tool,Easy-Fit Tri-Creaser Advance,,60
,EF-ST/25-DSF,Tri Creaser Easy Fit 25mm Advance Female Only Pack,997,84.88,91.5,,,598.2,84.88,85.8,,,tool,Easy-Fit Tri-Creaser Advance Female Only,,60
NEEDS PRICING,FF-DU/DSF-FP-03,Fast Fit Creasing Device To Fit Duplo DC-618,550,,,,,,,,,,tool,Fast-Fit Tri-Creaser,,
NEEDS PRICING,FF-DU/DSF-FP-02,Fast Fit Creasing Device to Fit Duplo DC-745,550,81.64,85.2,,,,81.64,,,,tool,Fast-Fit Tri-Creaser,,
NEEDS PRICING,FF-DU/DSF-FP-01,Fast Fit Duplo DC-616,550,70.39,87.2,,,,70.39,,,,tool,Fast-Fit Tri-Creaser,,
