Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
TECH543,Dick Moll Adjustable Spine & Hinge Creaser 29.62mm,0,0,,402.17,consumable,NEGLECTED,,,,,,,,
TECH541,CSM 10mm Hinge Creaser,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH539,"Kolbus 114mO/D Quad Creaser, support Rollers & Fixed 9m Hing",0,0,,1990.41,consumable,NEGLECTED,,,,,,,,
TECH536,Duplo Male Holder Arm,0,0,,64.78,consumable,NEGLECTED,,,,,,,,
TECH535,12mm Duplo Cassette DSF Style,0,0,,52.6,consumable,NEGLECTED,,,,,,,,
TECH534,Duplo Cassette DSF,0,0,,81.64,consumable,NEGLECTED,,,,,,,,
TECH533,Muller Allegro Lay Flat Attachment,0,0,,586.78,consumable,NEGLECTED,,,,,,,,
TECH531,Quad Creaser for Muller Alegro,0,0,,636.49,consumable,NEGLECTED,,,,,,,,
TECH528,Duplo Multi-Tool 10.5mm,0,0,,370.9,consumable,NEGLECTED,,,,,,,,
TECH525,Dick Moll Female. No Gripper,0,0,,58.92,consumable,NEGLECTED,,,,,,,,
TECH522,Smyth Fast Fit 30/64mm,0,0,,161.54,consumable,NEGLECTED,,,,,,,,
TECH519,8mm Hinge Creaser,0,0,,154.29,consumable,NEGLECTED,,,,,,,,
TECH518,New Style Fast Fit 30mm Unground MBO,0,0,,158.99,consumable,NEGLECTED,,,,,,,,
TECH517,ESKO 60mm Perf Holder,0,0,,154.29,consumable,NEGLECTED,,,,,,,,
TECH513,Horizon BQ470 7mm Hinge 2 Shaft System,0,0,,261.16,consumable,NEGLECTED,,,,,,,,
TECH510TOP,Card Creaser Top Perf Holder & 40.7m Nylon,0,0,,49.36,consumable,NEGLECTED,,,,,,,,
TECH509ALU,Tech509 KIT. Aluminium with soft coating. Black,0,0,,199.62,consumable,NEGLECTED,,,,,,,,
TECH509,Spine & Hinge Creaser for Cardcreaser,0,0,,201.89,consumable,NEGLECTED,,,,,,,,
TECH508,Easy Fit 7mm Hinge,0,0,,389.76,consumable,NEGLECTED,,,,,,,,
TECH503,35mm Inner Sleeve Adapter Set for 30mm Shaft,0,0,,198.68,consumable,NEGLECTED,,,,,,,,
TECH502,Horizon 65mm Black & Blue Nylon Sleeve Holder Set,0,0,,388.97,consumable,NEGLECTED,,,,,,,,
TECH501,Horizon 65mm Multi Tool Blade Holder,0,0,,390.89,consumable,NEGLECTED,,,,,,,,
TECH500,MBO 40mm CP Applicator,0,0,,537.38,consumable,NEGLECTED,,,,,,,,
TECH499F,Orange/Blue Female 35,0,0,,84.44,consumable,NEGLECTED,,,,,,,,
TECH499,Fast Fit 35mm Tri Creaser with Orange/blue Female Channels o,0,0,,94.23,consumable,NEGLECTED,,,,,,,,
TECH498,Horizon Stitchliner MKIII Spine Creaser FULL KIT,0,0,,54.6,consumable,NEGLECTED,,,,,,,,
TECH497,Tri Creaser Fast Fit Petratto Advance System,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH496,GUK 59.4 O/D Double Score Female Attachment,0,0,,80.3,consumable,NEGLECTED,,,,,,,,
TECH495,H&H 35mm Double Score Female Attachment,0,0,,77.24,consumable,NEGLECTED,,,,,,,,
TECH493,Double Score Female Attachment Rollem,0,0,,113.67,consumable,NEGLECTED,,,,,,,,
TECH492,Double Score Female Attachment 40mm,0,0,,90.19,consumable,NEGLECTED,,,,,,,,
TECH491,Tri-Creaser FF Horizon 20m Advance Female KIT,0,0,,104.66,consumable,NEGLECTED,,,,,,,,
TECH488P,CP Applicator Horizon 20/50 .Perforator Holder & Nylons Only,0,0,,117.73,consumable,NEGLECTED,,,,,,,,
TECH488,CP Applicator 20/50,0,0,,210.8,consumable,NEGLECTED,,,,,,,,
TECH487Y,Plastic Creaser Duplo-Yellow,0,0,,15.28,consumable,NEGLECTED,,,,,,,,
TECH487W,Plastic Creaser Duplo White,0,0,,15.85,consumable,NEGLECTED,,,,,,,,
TECH487B,Plastic Creaser Duplo Black,0,0,,15.97,consumable,NEGLECTED,,,,,,,,
TECH487,Duplo Spine Creaser,0,0,,126.75,consumable,NEGLECTED,,,,,,,,
TECH485,CSM 6mm Hinge Creaser,0,0,,83.58,consumable,NEGLECTED,,,,,,,,
TECH484F,Females only. H&H 30mm Fix,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH484,H&H 30mm Fix. With X3 Females,0,0,,101.24,consumable,NEGLECTED,,,,,,,,
TECH483,X3 Females only for H&H 30mm,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH482,Muller Female Creaser,0,0,,177.72,consumable,NEGLECTED,,,,,,,,
TECH481,Fast Fit Ga-Vehren,0,0,,138.66,consumable,NEGLECTED,,,,,,,,
TECH480,Double Score T/C Fast Fit. Short Version,0,0,,37.24,consumable,NEGLECTED,,,,,,,,
TECH479,CSM Rib/Nylom Sleeve Holder. Male,0,0,,30.03,consumable,NEGLECTED,,,,,,,,
TECH478,Petratto Support Rollers. Pair,0,0,,36.66,consumable,NEGLECTED,,,,,,,,
TECH477,Male 35mm Stahl Fast Fit,0,0,,52.77,consumable,NEGLECTED,,,,,,,,
TECH476,Double Score Female Attachment 35mm.,0,0,,110.8,consumable,NEGLECTED,,,,,,,,
TECH475,Male 30mm MBO Fast Fit,0,0,,43.45,consumable,NEGLECTED,,,,,,,,
TECH474,Double Score Female Atchment 30mm. Fast Fit & Easy Fit,0,0,,54.57,consumable,NEGLECTED,,,,,,,,
TECH473,Male 25mm Stahl Fast Fit,0,0,,37.83,consumable,NEGLECTED,,,,,,,,
TECH472,CSM Doublescore T/C Fast Fit 25mm,0,0,,52.25,consumable,NEGLECTED,,,,,,,,
TECH470,Micro-Perf Device for Pro,0,0,,104.77,consumable,NEGLECTED,,,,,,,,
TECH469,Tri Creaser Fast Fit for Creasestream Pro 30mm,0,0,,51.75,consumable,NEGLECTED,,,,,,,,
TECH468,Micro-Perforator - Petratto 40mm,0,0,,183.74,consumable,NEGLECTED,,,,,,,,
