product_code,standard_price,show_in_distributor_portal
PD-NY/SL-MF-40,29.2,TRUE
PD-NY/SL-MB-B,29.2,TRUE
PD-NY/SL-MB,29.2,TRUE
PD-NY/SL-HO-PROTO,29.2,TRUE
PD-NY/SL-HO/B,29.2,TRUE
PD-NY/SL-HO,29.2,TRUE
PD-NY/SL-HH-40B,29.2,TRUE
PD-NY/SL-HH-40,29.2,TRUE
PD-NY/SL-HH-35-B,29.2,TRUE
PD-NY/SL-HH-35,29.2,TRUE
PD-NY/SL-HH-30-B,29.2,TRUE
PD-NY/SL-HH-30,29.2,TRUE
PD-NY/SL-GU-B,29.2,TRUE
PD-NY/SL-GU,29.2,TRUE
PD-NY/SL-DM/30-B,29.2,TRUE
PD-NY/SL-DM/30,29.2,TRUE
PD-NY/SL-CSP-B,29.2,TRUE
PD-NY/SL-CSP,29.2,TRUE
PD-NY/SL-CSM-B,29.2,TRUE
PD-NY/SL-CSM,29.2,TRUE
PD-NY/SL-CSJ-B,29.2,TRUE
PD-NY/SL-CSJ,29.2,TRUE
PD-NY/SL-BF-28B,29.2,TRUE
PD-NY/SL-BF-28,29.2,TRUE
PD-NY/SL-BF-22-B,29.2,TRUE
PD-NY/SL-BF-22,29.2,TRUE
PD-NY/SL-50-B,29.2,TRUE
PD-NY/SL-36-STA-B,29.2,TRUE
PD-NY/SL-36-STA,29.2,TRUE
PD-NY/SL-35-B,29.2,TRUE
PD-NY/SL-35,29.2,TRUE
PD-NY/SL-30-B,29.2,TRUE
PD-NY/SL-30,29.2,TRUE
PD-NY/SL-25-B,29.2,TRUE
PD-NY/SL-25,29.2,TRUE
PD-NSH/MO,158,TRUE
PD-MU/BR-FP,451,TRUE
PD-DEL-VI/25-FP,451,TRUE
PD-DEL-ST/50-FP,608,TRUE
PD-DEL-ST/25-FP,451,TRUE
PD-DEL-SM/35-FP,451,TRUE
PD-DEL-ROS-BA/25-FP,451,TRUE
PD-DEL-RO/20-FP,451,TRUE
PD-DEL-QC/36-FP,451,TRUE
PD-DEL-PET/40-FP,451,TRUE
PD-DEL-MO/15-FP-PACK,539,TRUE
PD-DEL-MO/15-FP,50,TRUE
PD-DEL-MF/40-FP,451,TRUE
PD-DEL-MF/30-FP,451,TRUE
PD-DEL-MB/20-FP,451,TRUE
PD-DEL-HO/20-FP,451,TRUE
PD-DEL-HH/35-FP,451,TRUE
PD-DEL-HH/30-FP,451,TRUE
PD-DEL-GU/35-FP,451,TRUE
PD-DEL-DM/30-FP,451,TRUE
PD-DEL-BF-28-FP,451,TRUE
PD-DEL-BF-22-FP,451,TRUE
PD-BH/K,130,TRUE
PD-36-FP,250,TRUE
PC-PC-LO-BLK,22,TRUE
PA-WEB,283,TRUE
MU-GB-03,100,TRUE
MU-GB-02-FE,200,TRUE
MU-GB-02,100,TRUE
MU-GB-01,100,TRUE
MT-SH/COMBO-65,1132,TRUE
MT-SH/65/PERF-OPTION-1,498,TRUE
MT-SH/65/CUTTING-OPTION-2,450,TRUE
MT-SH/65,709,TRUE
MT-SH/55/PERF-OPTION-1,498,TRUE
MT-SH/55/CUTTING-OPTION-2,450,TRUE
MT-SH/55,709,TRUE
MT-NY/SL-MB-B,29.2,TRUE
MT-NY/SL-MB,29.2,TRUE
MT-NY/SL-HH-35-B,29.2,TRUE
MT-NY/SL-HH-35,29.2,TRUE
MT-NY/SL-HH-30-B,29.2,TRUE
MT-NY/SL-GUK,29.2,TRUE
MT-NY/SL-35-B,29.2,TRUE
MT-NY/SL-35,29.2,TRUE
MT-NY/SL-30-B,29.2,TRUE
MT-NY/SL-30,29.2,TRUE
MT-NY/SL-25-B,29.2,TRUE
MT-NY/SL-25,29.2,TRUE
MT-NSH-MB/20,253,TRUE
MT-NSH-HH/30,253,TRUE
MT-MF/40CUTTING-OPT2,450,TRUE
MT-MF/40/PERF-OPTION-1,498,TRUE
MT-MF/40/CUTTING-OPTION-2,450,TRUE
MT-MB/PERF-OPTION-1,498,TRUE
MT-MB/CUTTING-OPTION-2,450,TRUE
MT-MB,709,TRUE
MT-HO/PERF-OPTION-1,498,TRUE
MT-HO/CUTTING-OPTION-2,450,TRUE
MT-HO/COMBO,1132,TRUE
MT-HO/65,709,TRUE
MT-HO,709,TRUE
MT-HH/45/CUTTING-OPTION-2,472,TRUE
MT-HH/40-CUTTING-OPTION2,450,TRUE
