Product Code,Description,Type,Category,Gina Old Distributor Price (£),New Distributor Price (£),Price Change (£),Price Change (%)
MPB-26,Micro-Perf Blade 26TPI -35mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-40,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-40/30MM,40 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-40/4SHEET,40 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-40/WEB,Micro-Perf Blades for Web Perforator 40TPI,consumable,Micro-Perforation Blade,135.00,59.40,-75.60,-56.0
MPB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52-GUK,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52-HH/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/25MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/30MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/46MM,Micro-Perf Blade - 52 TPI - 46mm I/D,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/50MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,39.00,59.40,20.40,52.3
MPB-52/BF/22MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/BF/28MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/MF-40,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/RO,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/SH-55,Micro-Perf Blade - 52 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/SH-65,Micro-Perf Blade - 52 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-52/WEB,Micro-Perf Blades for Web Perforator 52TPI,consumable,Micro-Perforation Blade,135.00,59.40,-75.60,-56.0
MPB-7,7 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-72-GUK,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-72/25MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-72/30MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-72/BF/22MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-8,8 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-MB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-MB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-MB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-MB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ROS-BA-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ROS-BA-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ROS-BA-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ROS-BA-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ST/MAILER-17,Micro-Perf Blade - 17 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ST/MAILER-25,Micro-Perf Blade - 25 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-ST/MAILER-52,Micro-Perf Blade - 52 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
PA-WEB,Micro-Perforating Anvils for Web,consumable,Micro-Perforation Blade,283.00,283.00,0.00,0.0
CP-NY/SL-25,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Stahl/H,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-25-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Stahl/He,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-30,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit MBO & H,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
CP-NY/SL-30-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit MBO & Ho,consumable,Nylon Sleeve - CP Applicator,37.54,37.54,0.00,0.0
