Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Price Difference,Last Order Date
MOULD-112B,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease with,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,01/12/2023
MOULD-112,Tri-Creaser Fast Fit Orange Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,05/09/2025
MOULD-111B,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease with l,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,19/09/2024
MOULD-111,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,05/09/2025
MOULD-110,Blue Fast-Fit 30mm Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/07/2025
MOULD-10A,25/30mm Thin Gripper Band/Blade Seal - 40mm O/D - Light Bake,19,0.97,consumable,Blade Seal,94.9,7.58,39.9,7.58,39.9,11.40,60.0,3.82,01/07/2024
MOULD-109,Orange Fast-Fit 30mm Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,18/11/2024
MOULD-108B,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease with,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,15/09/2025
MOULD-108,Tri-Creaser Fast Fit Yellow Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,13/10/2025
MOULD-107B,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease with l,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,15/09/2025
MOULD-107,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,15/09/2025
MOULD-106,Yellow Fast-Fit 30mm Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/07/2025
MOULD-105BK,Extra Heavy Black Fast Fit Horizon 20mm Split Creaser,23,0,consumable,Rubber Creasing Band,,9.85,42.8,9.85,42.8,13.80,60.0,3.95,31/10/2024
MOULD-105B,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease with,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,01/05/2025
