product_code,cost_price,,
FF-SM/35-DSF,68.68,,
FF-SM/35-FIX,83.18,,
FF-SM/35-FIX-01-B-V,129.86,,
FF-SM/35-FP-01,106.46,,
FF-SMY/30-FP-01,191.67,,
FF-ST/25-DSF,112.25,,
FF-ST/25-FP,116.47,,
FF-ST/25-FP-01,77.78,,
FF-ST/25-FP-DSF-01-B,128.59,,
FF-STA-SM/35-FIX,89.88,,
G1022,1.92,,
G1022-HANDLE,0.06,,
G243,1.50,,
G3382,0.73,,
GB-BF/22,41.44,,
GB-CSM/25-WIDE,18.33,,
GB-GUK-35,50.91,,
GB-MO,29.53,,
GB-RO,56.20,,
GB-ROS,72.94,,
GB-SM/35-FP,41.66,,
HO-GB-01,40.47,,
HO-ST/BK-PC,8.54,,
HO-ST/BL-PC,7.46,,
HO-ST/WH-PC,7.17,,
HO-ST/YE-PC,6.38,,
HORIZON-VP-66/02,64.22,,
KB-SPRING,1.13,,
KETT-LEAD-01,2.66,,
KETT-LEAD-02,2.96,,
KETT-LEAD-03,2.05,,
KETT-LEAD-04,2.10,,
KETT-LEAD-05,2.18,,
KETT-LEAD-06,3.40,,
KETT-LEAD-07,1.14,,
KETT-LEAD-08,9.50,,
KETT-LEAD-09,4.12,,
KETT-LEAD-10,8.90,,
LUGFILLER,3.53,,
MALE-30,46.66,,
MALE-35,55.28,,
MALE-DM-01,62.42,,
MALE-EF-25,37.08,,
MALE-EF-35,43.20,,
MB-GB-01,26.47,,
MB-SPRING,0.65,,
MOULD--08,1.15,,
MOULD-01,7.20,,
MOULD-01A,4.08,,
MOULD-02,7.20,,
MOULD-02A,4.08,,
MOULD-03,1.15,,
MOULD-05,4.76,,
MOULD-06,1.15,,
MOULD-07,1.07,,
MOULD-09,1.15,,
MOULD-10,1.07,,
MOULD-101,1.81,,
MOULD-101B,2.73,,
MOULD-102,1.81,,
MOULD-102-BX,2.61,,
MOULD-102B,2.73,,
MOULD-102B-SB,2.65,,
MOULD-102SB,1.81,,
